hola|¡Hola! ¿En qué puedo ayudarte hoy?
¿Cómo uso este chatbot?|Puedes escribir preguntas en lenguaje natural como “Dime canciones de Lady Gaga” o “¿Qué canciones tiene Linkin Park?”. El chatbot responderá según lo que sabe o buscará en la base de datos.
¿Qué puede hacer este chatbot?|Este chatbot puede responder preguntas sobre artistas, canciones, géneros musicales, y también mostrar información de una base de datos conectada.
¿Este chatbot funciona con base de datos?|Sí, el chatbot está conectado a una base de datos MySQL llamada “musica” que contiene canciones de varios artistas de géneros pop y rock.
¿Dónde guarda su conocimiento este chatbot?|Utiliza un archivo de texto llamado “conocimiento.txt” para responder preguntas fijas, y una base de datos MySQL para las preguntas dinámicas sobre artistas y canciones.
¿Puedo escribir cualquier tipo de pregunta?|Por ahora, el chatbot solo entiende preguntas relacionadas con artistas, canciones y algunas frases escritas en su archivo de conocimiento.
¿Este chatbot es inteligente?|Tiene una inteligencia básica: puede entender algunas expresiones naturales y buscar datos en su base. No aprende por sí solo, pero se puede mejorar agregando más frases o funciones.
¿Puede aprender nuevas preguntas?|Actualmente no aprende automáticamente, pero puedes editar el archivo “conocimiento.txt” para agregar nuevas preguntas y respuestas.
¿Cómo reconoce al artista en la pregunta?|Usa expresiones regulares para identificar el nombre del artista cuando preguntas por canciones o temas.
¿Qué pasa si no entiende una pregunta?|Si no reconoce la estructura o el contenido de la pregunta, mostrará un mensaje diciendo que no sabe cómo responder.








